receptor,label
ACE2,>SARS_CoV-2__Homo_sapiens
ACE2,>SARS_CoV__Homo_sapiens
ACE2,>LYRa11__Rhinolophus_affinis
ACE2,>Rs7327__Rhinolophus_sinicus
ACE2,>Rs4231__Rhinolophus_sinicus
ACE2,>Rs4084__Rhinolophus_sinicus
ACE2,>RsSHC014__Rhinolophus_sinicus
Unknown,>Rp3__Rhinolophus_pearsoni
Unknown,>BB9904__Rhinolophus_euryale
Unknown,>BM48-31__Rhinolophus_blasii
ACE2,>RaTG13__Rhinolophus_affinis
Unknown,>Rs4237__Rhinolophus_sinicus
ACE2,>SZ16__Paguma_larvata
ACE2,>WIV1__Rhinolophus_sinicus
Unknown,>BtKY72__Rhinolophus
Unknown,>YN2013__Rhinolophus_sinicus
DPP4,>MERS__Camelus_dromedarius
