distance,fraction_intensity,n,norm_intensity,fraction_mode,type
0,578,1376,0.420058139534884,0.98105339497779,brightfield
1,1133,2752,0.411700581395349,0.961245580636388,brightfield
2,2808,6880,0.408139534883721,0.952805729308313,brightfield
3,2745,6880,0.398982558139535,0.93110325446469,brightfield
4,3812,9632,0.395764119601329,0.92347540049471,brightfield
5,4423,11008,0.401798691860465,0.937777626688424,brightfield
6,6267,15136,0.414045983086681,0.966804295332987,brightfield
7,7542,17888,0.42162343470483,0.984763219737383,brightfield
8,7068,16512,0.428052325581395,1,brightfield
9,8656,20640,0.41937984496124,0.979445804248633,brightfield
10,9370,23392,0.400564295485636,0.934852047971759,brightfield
11,8329,22016,0.378315770348837,0.882121974435681,brightfield
12,11949,31648,0.377559403437816,0.880329348515843,brightfield
13,9592,26144,0.366891064871481,0.855044873538211,brightfield
14,11650,34400,0.338662790697674,0.788142507478923,brightfield
15,9480,33024,0.287063953488372,0.665850784153749,brightfield
16,7995,34400,0.232412790697674,0.536324902547367,brightfield
17,6903,37152,0.185804263565891,0.42586045387242,brightfield
18,4964,35776,0.138752236135957,0.314344888182256,brightfield
19,4335,48160,0.0900124584717608,0.198829273346543,brightfield
20,2522,45408,0.0555408738548273,0.117129961568362,brightfield
21,1672,45408,0.0368217054263566,0.0727646330039586,brightfield
22,1096,46784,0.0234268125854993,0.0410180933945512,brightfield
23,690,48160,0.0143272425249169,0.0194516751492547,brightfield
24,489,59168,0.00826460248783126,0.00508292697324454,brightfield
25,320,52288,0.00611995104039168,0,brightfield
0,3.28903285788427,1376,0.00239028550718333,1,mirfp670
1,6.53921398716874,2752,0.00237616787324445,0.994093745748593,mirfp670
2,16.1292669803634,6880,0.00234437020063421,0.980790869370569,mirfp670
3,15.7820164529874,6880,0.0022938977402598,0.959675207570868,mirfp670
4,21.4237457569998,9632,0.00222422609603404,0.930527373968401,mirfp670
5,23.4761705760517,11008,0.00213264630959772,0.892214048568111,mirfp670
6,30.350371501253,15136,0.00200517782117158,0.838886323472898,mirfp670
7,32.8278631953587,17888,0.00183518913211979,0.767769844482862,mirfp670
8,27.1444089967542,16512,0.00164392011850498,0.687750527526791,mirfp670
9,29.591306376026,20640,0.00143368732441986,0.599797522141735,mirfp670
10,28.0080605040741,23392,0.0011973350078691,0.500917151641865,mirfp670
11,21.317222809494,22016,0.000968260483716114,0.405081518842113,mirfp670
12,23.4149336006851,31648,0.000739855080911435,0.30952581969309,mirfp670
13,14.038453895639,26144,0.000536966565775664,0.224645367326188,mirfp670
14,13.1100603826684,34400,0.000381106406472918,0.159439700959408,mirfp670
15,8.48111166551264,33024,0.00025681660808844,0.107441812836437,mirfp670
16,5.9145339954045,34400,0.000171934127773387,0.071930372859931,mirfp670
17,4.22862047940961,37152,0.00011381945734845,0.0476175155672398,mirfp670
18,2.68926767800882,35776,7.51696019121429e-05,0.0314479595371522,mirfp670
19,2.35387325094615,48160,4.88761057090148e-05,0.0204478107582259,mirfp670
20,1.46516401345243,45408,3.22666493448827e-05,0.0134990775151815,mirfp670
21,1.03224327658103,45408,2.2732630298208e-05,0.00951042468771679,mirfp670
22,0.810240527209489,46784,1.73187527190811e-05,0.0072454745121595,mirfp670
23,0.682618294972886,48160,1.41739679188722e-05,0.00592982213893543,mirfp670
24,0.719378120907611,59168,1.215822946369e-05,0.00508651766793208,mirfp670
25,0.569798124697942,52288,1.08973019564325e-05,0.00455899595411666,mirfp670
