distance,fraction_intensity,n,norm_intensity,fraction_mode,sample,type
0,2329,6112,0.381053664921466,0.996150556030795,H.sapiens,brightfield
1,4676,12224,0.382526178010471,1,H.sapiens,brightfield
2,11552,30560,0.378010471204188,0.98819503849444,H.sapiens,brightfield
3,11266,30560,0.368651832460733,0.963729683490162,H.sapiens,brightfield
4,15685,42784,0.366609012715034,0.958389343761457,H.sapiens,brightfield
5,17868,48896,0.365428664921466,0.955303678357571,H.sapiens,brightfield
6,24676,67232,0.367027605901951,0.959483630142313,H.sapiens,brightfield
7,29235,79456,0.367939488521949,0.961867473843522,H.sapiens,brightfield
8,26642,73344,0.363247164048866,0.949600798403194,H.sapiens,brightfield
9,32753,91680,0.357253490401396,0.933932135728543,H.sapiens,brightfield
10,36434,103904,0.350650600554358,0.916670859960751,H.sapiens,brightfield
11,33627,97792,0.343862483638743,0.898925363558597,H.sapiens,brightfield
12,46622,140576,0.33164978374687,0.866998921411835,H.sapiens,brightfield
13,36585,116128,0.315040300358225,0.823578407095583,H.sapiens,brightfield
14,45776,152800,0.299581151832461,0.783165098374679,H.sapiens,brightfield
15,39968,146688,0.272469458987784,0.712289706301682,H.sapiens,brightfield
16,35674,152800,0.233468586387435,0.610333618477331,H.sapiens,brightfield
17,31659,165024,0.191844822571262,0.501520767987834,H.sapiens,brightfield
18,23991,158912,0.150970348368909,0.394666710534974,H.sapiens,brightfield
19,23385,213920,0.109316566940912,0.285775387999511,H.sapiens,brightfield
20,14894,201696,0.0738438045375218,0.19304248645566,H.sapiens,brightfield
21,9738,201696,0.0482805806758686,0.126215102263006,H.sapiens,brightfield
22,6509,207808,0.0313221820141669,0.0818824535802345,H.sapiens,brightfield
23,4341,213920,0.0202926327599102,0.0530490040327508,H.sapiens,brightfield
24,3571,262816,0.0135874528187021,0.0355203214832793,H.sapiens,brightfield
25,1959,232256,0.00843465830807385,0.022049885192022,H.sapiens,brightfield
26,1481,250592,0.00591000510790448,0.0154499363642054,H.sapiens,brightfield
27,1176,275040,0.00427574171029668,0.0111776447105788,H.sapiens,brightfield
28,746,262816,0.00283848776330208,0.00742037519645095,H.sapiens,brightfield
29,519,281152,0.00184597655360801,0.00482575222226355,H.sapiens,brightfield
30,442,299488,0.00147585212095309,0.0038581728670938,H.sapiens,brightfield
31,380,311712,0.00121907401704137,0.00318690350391654,H.sapiens,brightfield
32,301,317824,0.000947065042287555,0.00247581759557807,H.sapiens,brightfield
33,281,311712,0.000901473154706909,0.0023566312752646,H.sapiens,brightfield
34,237,323936,0.00073162600019757,0.00191261681488774,H.sapiens,brightfield
35,198,317824,0.00062298630688683,0.00162861091004804,H.sapiens,brightfield
36,201,372832,0.000539116814007381,0.00140935926741365,H.sapiens,brightfield
37,321,372832,0.0008609775984894,0.00225076778527255,H.sapiens,brightfield
38,154,372832,0.000413054673418591,0.00107980759791892,H.sapiens,brightfield
39,145,354496,0.000409031413612565,0.00106928999144568,H.sapiens,brightfield
40,130,323936,0.000401313839770819,0.00104911470858821,H.sapiens,brightfield
41,115,262816,0.000437568488980884,0.00114389161875584,H.sapiens,brightfield
42,68,220032,0.000309045956951716,0.000807907993536736,H.sapiens,brightfield
43,86,213920,0.000402019446522064,0.00105095930587804,H.sapiens,brightfield
44,235,177248,0.00132582596136487,0.00346597445503082,H.sapiens,brightfield
45,48,165024,0.00029086678301338,0.000760383993916928,H.sapiens,brightfield
46,53,134464,0.000394157544026654,0.00103040671902947,H.sapiens,brightfield
47,46,116128,0.000396114632130063,0.00103552293908424,H.sapiens,brightfield
48,40,128352,0.00031164298180005,0.000814697136339566,H.sapiens,brightfield
49,25,85568,0.000292165295437547,0.000763778565318343,H.sapiens,brightfield
50,21,79456,0.000264297221103504,0.000690925840626439,H.sapiens,brightfield
51,35,67232,0.000520585435506901,0.00136091453456723,H.sapiens,brightfield
52,13,36672,0.000354493891797557,0.000926717992586256,H.sapiens,brightfield
53,19,55008,0.000345404304828389,0.000902955992776352,H.sapiens,brightfield
54,7,18336,0.000381762652705061,0.000998003992015968,H.sapiens,brightfield
55,5,18336,0.000272687609075044,0.00071285999429712,H.sapiens,brightfield
0,15.9850948403844,6112,0.00261536237571734,1,H.sapiens,mirfp670
1,31.7132706854727,12224,0.00259434478775137,0.991963795089692,H.sapiens,mirfp670
2,77.8094012985558,30560,0.00254611915243965,0.973524424790772,H.sapiens,mirfp670
3,75.5057722193356,30560,0.00247073861974266,0.944702211319754,H.sapiens,mirfp670
4,101.594009705618,42784,0.00237457950882616,0.90793517979506,H.sapiens,mirfp670
5,110.124385239001,48896,0.00225221664837616,0.861148982369384,H.sapiens,mirfp670
6,140.491978624855,67232,0.00208965936793275,0.798994199555082,H.sapiens,mirfp670
7,149.930545579918,79456,0.00188696316930022,0.721492052810718,H.sapiens,mirfp670
8,122.748066524935,73344,0.00167359383896344,0.639908968065815,H.sapiens,mirfp670
9,133.113917524679,91680,0.00145194063617669,0.555158493391745,H.sapiens,mirfp670
10,125.846006795873,103904,0.00121117576605206,0.463100554361938,H.sapiens,mirfp670
11,96.0840300891252,97792,0.000982534666323679,0.37567821401965,H.sapiens,mirfp670
12,106.237646774117,140576,0.000755731040676337,0.288958443270813,H.sapiens,mirfp670
13,63.8817840394656,116128,0.00055009803010011,0.210333388293555,H.sapiens,mirfp670
14,59.8989035904842,152800,0.000392008531351337,0.149886889476957,H.sapiens,mirfp670
15,38.738911144814,146688,0.000264090526456247,0.10097664817244,H.sapiens,mirfp670
16,26.7778807048854,152800,0.000175247910372286,0.0670071237543974,H.sapiens,mirfp670
17,18.8390114151052,165024,0.0001141592217805,0.0436494853793208,H.sapiens,mirfp670
18,11.5110364399438,158912,7.24365462642459e-05,0.0276965620278062,H.sapiens,mirfp670
19,9.253848269125,213920,4.32584530157302e-05,0.0165401373887491,H.sapiens,mirfp670
20,4.95852355924022,201696,2.45841442529362e-05,0.0093998997925453,H.sapiens,mirfp670
21,2.78708804887278,201696,1.38182613877954e-05,0.00528349781127571,H.sapiens,mirfp670
22,1.59229489225554,207808,7.66233683138062e-06,0.00292974193653719,H.sapiens,mirfp670
23,0.924963714293661,213920,4.32387674968989e-06,0.00165326105087213,H.sapiens,mirfp670
24,0.627728349781767,262816,2.38847083047366e-06,0.000913246612649062,H.sapiens,mirfp670
25,0.323201953856644,232256,1.39157633756133e-06,0.000532077830009942,H.sapiens,mirfp670
26,0.213000240856281,250592,8.49988191387918e-07,0.000324998248533258,H.sapiens,mirfp670
27,0.152724372217772,275040,5.55280585434015e-07,0.000212314970418473,H.sapiens,mirfp670
28,0.093541221977862,262816,3.55919053550248e-07,0.000136087854155441,H.sapiens,mirfp670
29,0.0727720972629565,281152,2.58835424478419e-07,9.89673273889726e-05,H.sapiens,mirfp670
30,0.0606448667089295,299488,2.02495147414686e-07,7.74252735662093e-05,H.sapiens,mirfp670
31,0.0407454265632415,311712,1.30714975885566e-07,4.99796804829821e-05,H.sapiens,mirfp670
32,0.0284287461539743,317824,8.9448078666099e-08,3.42010267856535e-05,H.sapiens,mirfp670
33,0.0183036627701957,311712,5.87197886837712e-08,2.24518748258224e-05,H.sapiens,mirfp670
34,0.0113687967883625,323936,3.50958114823994e-08,1.3419100851282e-05,H.sapiens,mirfp670
35,0.00499146877729832,317824,1.57051348460101e-08,6.00495556249735e-06,H.sapiens,mirfp670
36,0.00282702773214535,372832,7.58257803017271e-09,2.89924566498857e-06,H.sapiens,mirfp670
37,0.00135004821600771,372832,3.62106314910661e-09,1.38453591851241e-06,H.sapiens,mirfp670
38,0,372832,0,0,H.sapiens,mirfp670
39,0,354496,0,0,H.sapiens,mirfp670
40,0,323936,0,0,H.sapiens,mirfp670
41,0,262816,0,0,H.sapiens,mirfp670
42,0,220032,0,0,H.sapiens,mirfp670
43,0,213920,0,0,H.sapiens,mirfp670
44,0,177248,0,0,H.sapiens,mirfp670
45,0,165024,0,0,H.sapiens,mirfp670
46,0,134464,0,0,H.sapiens,mirfp670
47,0,116128,0,0,H.sapiens,mirfp670
48,0,128352,0,0,H.sapiens,mirfp670
49,0,85568,0,0,H.sapiens,mirfp670
50,0,79456,0,0,H.sapiens,mirfp670
51,0,67232,0,0,H.sapiens,mirfp670
52,0,36672,0,0,H.sapiens,mirfp670
53,0,55008,0,0,H.sapiens,mirfp670
54,0,18336,0,0,H.sapiens,mirfp670
55,0,18336,0,0,H.sapiens,mirfp670
0,4.02931583603512,6112,0.000659246700921976,0.810774033020085,H.sapiens,af488
1,8.09648507721056,12224,0.000662343347284895,0.814582441097046,H.sapiens,af488
2,20.4446519835595,30560,0.000669000392132183,0.82276960243025,H.sapiens,af488
3,20.7524275798769,30560,0.000679071583111155,0.835155648679579,H.sapiens,af488
4,29.600428845468,42784,0.000691857443097138,0.850880328457222,H.sapiens,af488
5,34.5943283312574,48896,0.000707508351015573,0.870128585165535,H.sapiens,af488
6,48.8882092537952,67232,0.0007271568487297,0.894293274518079,H.sapiens,af488
7,59.5698867423625,79456,0.00074972169178366,0.922044628877135,H.sapiens,af488
8,56.5158112813406,73344,0.000770558072662257,0.947670235398725,H.sapiens,af488
9,72.3502130421748,91680,0.000789160264421627,0.970548126201462,H.sapiens,af488
10,83.6482435233882,103904,0.000805053159872462,0.990093991084849,H.sapiens,af488
11,79.515439260454,97792,0.000813107813118189,1,H.sapiens,af488
12,113.246127307981,140576,0.000805586496329254,0.990749914503844,H.sapiens,af488
13,90.1216824176572,116128,0.000776054719082884,0.954430281645911,H.sapiens,af488
14,109.753655315503,152800,0.000718283084525544,0.883379882639422,H.sapiens,af488
15,92.320195109543,146688,0.00062936433184407,0.774023225075798,H.sapiens,af488
16,80.252179008336,152800,0.000525210595604293,0.645929835048764,H.sapiens,af488
17,69.1216312057403,165024,0.000418858052196895,0.515132243768037,H.sapiens,af488
18,51.3250784734334,158912,0.000322977990796374,0.397214226189495,H.sapiens,af488
19,51.1015993385107,213920,0.000238881821889074,0.293788619461158,H.sapiens,af488
20,34.7878178751787,201696,0.000172476488751283,0.212120073093201,H.sapiens,af488
21,26.0979070979046,201696,0.000129392288879822,0.159133004003018,H.sapiens,af488
22,20.9507131892344,207808,0.000100817645082164,0.123990500958954,H.sapiens,af488
23,17.3393580510465,213920,8.10553386829025e-05,0.0996858440851321,H.sapiens,af488
24,17.6265666185622,262816,6.70680880104796e-05,0.0824836349232459,H.sapiens,af488
