virus_label,mean_flow,mean_micro
BB9904 RBD,3.34160733181847,1.94027459447222
BM48-31 RBD,3.69576308466291,1.482388995125
BtKY72 RBD,7.64782942824602,2.84812231704167
Khosta1 RBD,9.93168258566809,2.37324343143056
Khosta2 RBD,4.28750437495752,2.21265944943056
RhGB01 RBD,3.08412984309131,1.31779314002778
Rp3 RBD,1.41886641145485,1.05912074952778
Rs4237 RBD,1.70903949644714,1.16889168915278
SARS-CoV,23.5502660316475,3.09260482619444
SARS-CoV-2 RBD,8.72907260009539,2.39853140868056
VSV,0.563471220082199,0.932589631375
WIV1 RBD,10.7109975712227,2.84822469856944
YN2013 RBD,1.58336879677224,1.390394323
