variable,species,value,clade_species,clade_variable
BB9904__Rhinolophus_euryale,WIV1__Rhinolophus_sinicus,69,1,3
BB9904__Rhinolophus_euryale,PRD-2386__Rhinolophus,46,3,3
BB9904__Rhinolophus_euryale,Rs4231__Rhinolophus_sinicus,69,1,3
BB9904__Rhinolophus_euryale,PRD-0038__Rhinolophus,47,3,3
BB9904__Rhinolophus_euryale,BtKY72__Rhinolophus,45,3,3
BB9904__Rhinolophus_euryale,Rs806/2006__Rhinolophus_sinicus,83,2,3
BB9904__Rhinolophus_euryale,HeB2013__Rhinolophus_ferrumequium,80,2,3
BB9904__Rhinolophus_euryale,Rs4237__Rhinolophus_sinicus,81,2,3
BB9904__Rhinolophus_euryale,Rs4084__Rhinolophus_sinicus,70,1,3
BB9904__Rhinolophus_euryale,RaTG13__Rhinolophus_affinis,78,1,3
BB9904__Rhinolophus_euryale,Rp3__Rhinolophus_pearsonii,82,2,3
BB9904__Rhinolophus_euryale,SARS_CoV-2__Homo_sapiens,75,1,3
BB9904__Rhinolophus_euryale,Rf1__Rhinolophus_ferrumequium,80,2,3
BB9904__Rhinolophus_euryale,RaTG15__Rhinolophus_affinis,72,1,3
BB9904__Rhinolophus_euryale,Rf4092__Rhinolophus_ferrumequium,84,2,3
BB9904__Rhinolophus_euryale,ZXC21__Rhinolophus_sinicus,86,2,3
BB9904__Rhinolophus_euryale,Khosta1__Rhinolophus_ferrumequinum,47,3,3
BB9904__Rhinolophus_euryale,SARS_CoV__Homo_sapiens,72,1,3
BB9904__Rhinolophus_euryale,Rs4237__Rhinolophus_sinicus,81,2,3
BB9904__Rhinolophus_euryale,BB9904__Rhinolophus_euryale,0,3,3
BB9904__Rhinolophus_euryale,Khosta2__Rhinolophus_hipposideros,61,3,3
BB9904__Rhinolophus_euryale,HuB2013__Rhinolophus_sinicus,78,2,3
BB9904__Rhinolophus_euryale,Rs4081__Rhinolophus_sinicus,81,2,3
BB9904__Rhinolophus_euryale,Shaanxi2011__Rhinolophus_pusillus,80,2,3
BB9904__Rhinolophus_euryale,LYRa11__Rhinolophus_affinis,72,1,3
BB9904__Rhinolophus_euryale,JL2012__Rhinolophus_ferrumequinum,84,2,3
BB9904__Rhinolophus_euryale,Rs7327__Rhinolophus_sinicus,70,1,3
BB9904__Rhinolophus_euryale,RhGB01__Rhinolophus_hipposideros,56,3,3
BB9904__Rhinolophus_euryale,RsSHC014__Rhinolophus_sinicus,69,1,3
BB9904__Rhinolophus_euryale,BM48-31__Rhinolophus_blasii,34,3,3
BB9904__Rhinolophus_euryale,YN2013__Rhinolophus_sinicus,83,2,3
BM48-31__Rhinolophus_blasii,Rf4092__Rhinolophus_ferrumequium,82,2,3
BM48-31__Rhinolophus_blasii,HeB2013__Rhinolophus_ferrumequium,79,2,3
BM48-31__Rhinolophus_blasii,YN2013__Rhinolophus_sinicus,84,2,3
BM48-31__Rhinolophus_blasii,BM48-31__Rhinolophus_blasii,0,3,3
