species,variable,value
YN2013__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,0
Rf1__Rhinolophus_ferrumequium,YN2013__Rhinolophus_sinicus,20
Rs4247__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,20
Rs4237__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,22
Rp3__Rhinolophus_pearsonii,YN2013__Rhinolophus_sinicus,22
RhGB01__Rhinolophus_hipposideros,YN2013__Rhinolophus_sinicus,91
BB9904__Rhinolophus_euryale,YN2013__Rhinolophus_sinicus,84
BM48-31__Rhinolophus_blasii,YN2013__Rhinolophus_sinicus,85
Khosta2__Rhinolophus_hipposideros,YN2013__Rhinolophus_sinicus,91
Khosta1__Rhinolophus_ferrumequinum,YN2013__Rhinolophus_sinicus,78
PRD-0038__Rhinolophus,YN2013__Rhinolophus_sinicus,80
BtKY72__Rhinolophus,YN2013__Rhinolophus_sinicus,80
PRD-2386__Rhinolophus,YN2013__Rhinolophus_sinicus,79
RaTG15__Rhinolophus_affinis,YN2013__Rhinolophus_sinicus,84
SARS_CoV-2__Homo_sapiens,YN2013__Rhinolophus_sinicus,83
RaTG13__Rhinolophus_affinis,YN2013__Rhinolophus_sinicus,85
Rs4231__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,84
SARS_CoV__Homo_sapiens,YN2013__Rhinolophus_sinicus,83
LYRa11__Rhinolophus_affinis,YN2013__Rhinolophus_sinicus,82
Rs7327__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,82
WIV1__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,81
YN2013__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,20
Rf1__Rhinolophus_ferrumequium,Rf1__Rhinolophus_ferrumequium,0
Rs4247__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,23
Rs4237__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,22
Rp3__Rhinolophus_pearsonii,Rf1__Rhinolophus_ferrumequium,21
RhGB01__Rhinolophus_hipposideros,Rf1__Rhinolophus_ferrumequium,85
BB9904__Rhinolophus_euryale,Rf1__Rhinolophus_ferrumequium,80
BM48-31__Rhinolophus_blasii,Rf1__Rhinolophus_ferrumequium,79
Khosta2__Rhinolophus_hipposideros,Rf1__Rhinolophus_ferrumequium,87
Khosta1__Rhinolophus_ferrumequinum,Rf1__Rhinolophus_ferrumequium,75
PRD-0038__Rhinolophus,Rf1__Rhinolophus_ferrumequium,79
BtKY72__Rhinolophus,Rf1__Rhinolophus_ferrumequium,79
PRD-2386__Rhinolophus,Rf1__Rhinolophus_ferrumequium,78
RaTG15__Rhinolophus_affinis,Rf1__Rhinolophus_ferrumequium,80
SARS_CoV-2__Homo_sapiens,Rf1__Rhinolophus_ferrumequium,79
RaTG13__Rhinolophus_affinis,Rf1__Rhinolophus_ferrumequium,81
Rs4231__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,79
SARS_CoV__Homo_sapiens,Rf1__Rhinolophus_ferrumequium,80
LYRa11__Rhinolophus_affinis,Rf1__Rhinolophus_ferrumequium,78
