pseudovirus_env,virus_label,sequence_confirmed,sarbecovirus_clade
None,None,yes,none
VSVG,VSV,yes,none
SARS1,SARS-CoV,yes,1
SARS2-FLAG,SARS-CoV-2,yes,1
SARS2,SARS-CoV-2,yes,1
G720,SARS-CoV-2[d19],yes,1
G720D,SARS-CoV-2[d19],yes,1
G723,SARS2_min,yes,1
G723C,SARS2_min,yes,1
G730,SARS-CoV-2 RRAR>A(Furin),yes,1
G730E,SARS-CoV-2 RRAR>A(Furin),yes,1
G742,SARS-CoV-2,yes,1
G742A,SARS-CoV-2,yes,1
G746,SARS-CoV-2[P812R],yes,1
G746B,SARS-CoV-2[P812R],yes,1
G769B,SARS-CoV-2[D614G],yes,1
G769C,SARS-CoV-2[D614G],yes,1
G742A,SARS-CoV-2,yes,1
NL63,NL63-CoV,NA,none
WIV1,WIV1-CoV,NA,1
G740,SARS-CoV-2 RBD,NA,1
G764B,WIV1 RBD,NA,1
G740D,SARS-CoV-2 RBD,NA,1
G776C,Rp3 RBD,no,2
G777A,YN2013 RBD,NA,2
G778B,BtKY72 RBD,NA,3
MERS,MERS-CoV,NA,none
HKU4,HKU4-CoV,NA,none
ZdM,Ebolavirus Zaire,NA,none
Marb,Marburgvirus,NA,none
LFV,Lassa fever virus,NA,none
LCMV,LCMV,NA,none
Junin,Junin virus,NA,none
G807B,BM48-31 RBD,NA,3
G798H,BB9904 RBD,NA,3
G799H,BM48-31 RBD,no,3
G776G,Rp3 RBD,yes,2
G817A,Rs4237 RBD,NA,2
G831A,BtKY72 1-539,yes,3
G834B,BtKY72 1-888,yes,3
G836B,BtKY72 1-955,yes,3
G855B,BtKY72 1-120;329-539,yes,3
G856A,BtKY72 112-206;329-539,yes,3
G857A,BtKY72 214-328;329-539,yes,3
G858A,BtKY72 RBD [Y488H],yes,3
G859B,BtKY72 RBD [T499E],yes,3
G861A,SARS-CoV-2[T500E],NA,1
G878A,SARS-CoV-2[Y489H],NA,1
G882A,SARS-CoV-2[d19;D614G],NA,1
G928A,SARS-CoV-2,yes,1
G1120B,RhGB01 RBD,yes,3
G1121B,Khosta1 RBD,yes,3
G1122A,Khosta2 RBD,yes,3
R12,SARS-CoV,yes,1
