species,variable,value
H.sapiens,H.sapiens,0
R.alcyone,H.sapiens,129
R.landeri,H.sapiens,125
R.ferrumequinum,H.sapiens,119
R.sinicus472,H.sapiens,125
R.sinicus215,H.sapiens,120
R.sinicus200,H.sapiens,121
R.affinis,H.sapiens,121
R.pearsonii,H.sapiens,116
H.sapiens,R.alcyone,129
R.alcyone,R.alcyone,0
R.landeri,R.alcyone,7
R.ferrumequinum,R.alcyone,22
R.sinicus472,R.alcyone,55
R.sinicus215,R.alcyone,49
R.sinicus200,R.alcyone,50
R.affinis,R.alcyone,48
R.pearsonii,R.alcyone,52
H.sapiens,R.landeri,125
R.alcyone,R.landeri,7
R.landeri,R.landeri,0
R.ferrumequinum,R.landeri,22
R.sinicus472,R.landeri,54
R.sinicus215,R.landeri,45
R.sinicus200,R.landeri,48
R.affinis,R.landeri,49
R.pearsonii,R.landeri,54
H.sapiens,R.ferrumequinum,119
R.alcyone,R.ferrumequinum,22
R.landeri,R.ferrumequinum,22
R.ferrumequinum,R.ferrumequinum,0
R.sinicus472,R.ferrumequinum,51
R.sinicus215,R.ferrumequinum,44
R.sinicus200,R.ferrumequinum,46
R.affinis,R.ferrumequinum,45
R.pearsonii,R.ferrumequinum,48
H.sapiens,R.sinicus472,125
R.alcyone,R.sinicus472,55
R.landeri,R.sinicus472,54
R.ferrumequinum,R.sinicus472,51
R.sinicus472,R.sinicus472,0
R.sinicus215,R.sinicus472,17
R.sinicus200,R.sinicus472,14
R.affinis,R.sinicus472,35
R.pearsonii,R.sinicus472,30
H.sapiens,R.sinicus215,120
R.alcyone,R.sinicus215,49
R.landeri,R.sinicus215,45
R.ferrumequinum,R.sinicus215,44
R.sinicus472,R.sinicus215,17
R.sinicus215,R.sinicus215,0
R.sinicus200,R.sinicus215,7
R.affinis,R.sinicus215,30
R.pearsonii,R.sinicus215,34
H.sapiens,R.sinicus200,121
R.alcyone,R.sinicus200,50
R.landeri,R.sinicus200,48
R.ferrumequinum,R.sinicus200,46
R.sinicus472,R.sinicus200,14
R.sinicus215,R.sinicus200,7
R.sinicus200,R.sinicus200,0
R.affinis,R.sinicus200,30
R.pearsonii,R.sinicus200,33
H.sapiens,R.affinis,121
R.alcyone,R.affinis,48
R.landeri,R.affinis,49
R.ferrumequinum,R.affinis,45
R.sinicus472,R.affinis,35
R.sinicus215,R.affinis,30
R.sinicus200,R.affinis,30
R.affinis,R.affinis,0
R.pearsonii,R.affinis,26
H.sapiens,R.pearsonii,116
R.alcyone,R.pearsonii,52
R.landeri,R.pearsonii,54
R.ferrumequinum,R.pearsonii,48
R.sinicus472,R.pearsonii,30
R.sinicus215,R.pearsonii,34
R.sinicus200,R.pearsonii,33
R.affinis,R.pearsonii,26
R.pearsonii,R.pearsonii,0
